Sample	C_amp	Evo	Missing_species	Rep	Time_h
EVO-1977_2_tp6	753	EVO	1977	2	6
EVO-1977_3_tp12	1	EVO	1977	3	12
EVO-1977_3_tp24	2	EVO	1977	3	24
EVO-1977_3_tp6	750	EVO	1977	3	6
EVO-1977_4_tp12	2	EVO	1977	4	12
EVO-1977_4_tp24	1	EVO	1977	4	24
EVO-1977_4_tp6	781	EVO	1977	4	6
EVO-403_1_tp12	3	EVO	403	1	12
EVO-403_1_tp24	1	EVO	403	1	24
EVO-403_1_tp6	807	EVO	403	1	6
EVO-403_2_tp12	4	EVO	403	2	12
EVO-403_2_tp24	1	EVO	403	2	24
EVO-403_2_tp6	818	EVO	403	2	6
EVO-403_3_tp12	3	EVO	403	3	12
EVO-403_3_tp24	1	EVO	403	3	24
EVO-403_3_tp6	809	EVO	403	3	6
EVO-403_4_tp12	2	EVO	403	4	12
EVO-403_4_tp24	1	EVO	403	4	24
EVO-403_4_tp6	806	EVO	403	4	6
EVO-All3_1_tp12	557	EVO	All3	1	12
EVO-All3_1_tp24	1	EVO	All3	1	24
EVO-All3_1_tp6	815	EVO	All3	1	6
EVO-All3_2_tp12	664	EVO	All3	2	12
EVO-All3_2_tp24	2	EVO	All3	2	24
EVO-All3_2_tp6	789	EVO	All3	2	6
EVO-All3_3_tp12	614	EVO	All3	3	12
EVO-All3_3_tp24	1	EVO	All3	3	24
EVO-All3_3_tp6	812	EVO	All3	3	6
EVO-All3_4_tp12	574	EVO	All3	4	12
EVO-All3_4_tp24	2	EVO	All3	4	24
EVO-All3_4_tp6	893	EVO	All3	4	6
