sample	strainID	count	count_correct	f	f_correct
ANC_p1_3C	HAMBI_1292	47	150	0.017616191904048	0.0562218890554723
ANC_p1_3C	HAMBI_1299	7	142	0.00262368815592204	0.0532233883058471
ANC_p1_3C	HAMBI_1842	207	69	0.0775862068965517	0.0258620689655172
ANC_p1_3C	HAMBI_1896	25	29	0.00937031484257871	0.0108695652173913
ANC_p1_3C	HAMBI_1972	3	3	0.00112443778110945	0.00112443778110945
ANC_p1_3C	HAMBI_1977	39	31	0.0146176911544228	0.0116191904047976
ANC_p1_3C	HAMBI_1988	153	90	0.0573463268365817	0.0337331334332834
ANC_p1_3C	HAMBI_2159	74	82	0.027736131934033	0.0307346326836582
ANC_p1_3C	HAMBI_2160	128	105	0.047976011994003	0.0393553223388306
ANC_p1_3C	HAMBI_2164	437	331	0.163793103448276	0.124062968515742
ANC_p1_3C	HAMBI_2443	6	144	0.00224887556221889	0.0539730134932534
ANC_p1_3C	HAMBI_2494	34	46	0.012743628185907	0.0172413793103448
ANC_p1_3C	HAMBI_2659	526	108	0.197151424287856	0.04047976011994
ANC_p1_3C	HAMBI_2792	18	10	0.00674662668665667	0.00374812593703148
ANC_p1_3C	HAMBI_3031	186	66	0.0697151424287856	0.0247376311844078
ANC_p1_3C	HAMBI_3237	1	4	0.000374812593703148	0.00149925037481259
ANC_p3_1G	HAMBI_0006	306	43	0.125925925925926	0.0176881941587824
ANC_p3_1G	HAMBI_0097	71	48	0.0292181069958848	0.0197449609214315
ANC_p3_1G	HAMBI_0105	0	0	0	0
ANC_p3_1G	HAMBI_0262	1	0	0.000411522633744856	0
ANC_p3_1G	HAMBI_0403	48	30	0.0197530864197531	0.0123406005758947
ANC_p3_1G	HAMBI_1279	89	37	0.0366255144032922	0.0152200740436035
ANC_p3_1G	HAMBI_1287	337	835	0.138683127572016	0.343480049362402
ANC_p3_1G	HAMBI_1292	153	373	0.062962962962963	0.153434800493624
ANC_p3_1G	HAMBI_1299	6	93	0.00246913580246914	0.0382558617852735
ANC_p3_1G	HAMBI_1842	28	7	0.011522633744856	0.00287947346770876
ANC_p3_1G	HAMBI_1896	29	26	0.0119341563786008	0.0106951871657754
ANC_p3_1G	HAMBI_1972	1062	820	0.437037037037037	0.337309749074455
ANC_p3_1G	HAMBI_1977	29	18	0.0119341563786008	0.00740436034553682
ANC_p3_1G	HAMBI_1988	0	0	0	0
ANC_p3_1G	HAMBI_2159	6	5	0.00246913580246914	0.00205676676264912
ANC_p3_1G	HAMBI_2160	13	8	0.00534979423868313	0.00329082682023859
ANC_p3_1G	HAMBI_2164	69	40	0.0283950617283951	0.0164541341011929
ANC_p3_1G	HAMBI_2443	1	18	0.000411522633744856	0.00740436034553682
ANC_p3_1G	HAMBI_2494	1	1	0.000411522633744856	0.000411353352529823
ANC_p3_1G	HAMBI_2659	176	28	0.0724279835390946	0.011517893870835
ANC_p3_1G	HAMBI_2792	1	0	0.000411522633744856	0
ANC_p3_1G	HAMBI_3031	4	1	0.00164609053497942	0.000411353352529823
ANC_p3_1G	HAMBI_3237	0	0	0	0
EVO_p6_3C	HAMBI_0006	231	62	0.121005762179151	0.032443746729461
EVO_p6_3C	HAMBI_0097	124	160	0.0649554740701938	0.0837257980115123
EVO_p6_3C	HAMBI_0105	3	393	0.00157150340492404	0.205651491365777
