Sample	AMP_conc	control	Evo	AB	Day	Replicate
D_T1_1_d16	0.6	62 %	E1972	5	16	1
D_T1_1_d20	0.3	219 %	E1972	5	20	1
D_T1_1_d8	0.4	87 %	E1972	5	8	1
D_T1_2_d12	0.3	112 %	E1972	5	12	2
D_T1_2_d16	2.7	52 %	E1972	5	16	2
D_T1_2_d20	0.3	147 %	E1972	5	20	2
D_T1_2_d8	0.4	95 %	E1972	5	8	2
D_T1_3_d12	0.3	139 %	E1972	5	12	3
D_T1_3_d16	0.9	53 %	E1972	5	16	3
D_T1_3_d20	0.3	150 %	E1972	5	20	3
D_T1_3_d8	0.6	89 %	E1972	5	8	3
D_T1_4_d12	0.5	93 %	E1972	5	12	4
D_T1_4_d16	0.8	70 %	E1972	5	16	4
D_T1_4_d20	4.8	98 %	E1972	5	20	4
D_T1_4_d8	0.3	92 %	E1972	5	8	4
D_T2_1_d12	0.3	121 %	E1972	50	12	1
D_T2_1_d16	0.5	24 %	E1972	50	16	1
D_T2_1_d20	0.3	194 %	E1972	50	20	1
D_T2_1_d8	0.5	13 %	E1972	50	8	1
D_T2_2_d12	0.3	138 %	E1972	50	12	2
D_T2_2_d16	1.2	54 %	E1972	50	16	2
D_T2_2_d20	0.3	89 %	E1972	50	20	2
D_T2_2_d8	0.7	53 %	E1972	50	8	2
D_T2_3_d12	0.4	140 %	E1972	50	12	3
D_T2_3_d16	0.6	61 %	E1972	50	16	3
D_T2_3_d20	0.3	93 %	E1972	50	20	3
D_T2_3_d8	0.4	81 %	E1972	50	8	3
D_T2_4_d12	0.4	95 %	E1972	50	12	4
D_T2_4_d16	0.9	30 %	E1972	50	16	4
D_T2_4_d20	0.4	92 %	E1972	50	20	4
D_T2_4_d8	0.4	111 %	E1972	50	8	4
D_T3_1_d12	0.3	106 %	E1972	500	12	1
D_T3_1_d16	0.6	45 %	E1972	500	16	1
D_T3_1_d20	0.4	97 %	E1972	500	20	1
D_T3_1_d8	2.6	12 %	E1972	500	8	1
D_T3_2_d12	0.3	119 %	E1972	500	12	2
D_T3_2_d16	0.4	74 %	E1972	500	16	2
D_T3_2_d20	0.4	109 %	E1972	500	20	2
D_T3_2_d8	0.6	76 %	E1972	500	8	2
D_T3_3_d12	0.4	135 %	E1972	500	12	3
D_T3_3_d16	0.5	76 %	E1972	500	16	3
D_T3_3_d20	0.3	96 %	E1972	500	20	3
D_T3_3_d8	1.1	18 %	E1972	500	8	3
D_T3_4_d12	0.3	108 %	E1972	500	12	4
D_T3_4_d16	0.6	70 %	E1972	500	16	4
D_T3_4_d20	0.3	109 %	E1972	500	20	4
D_T3_4_d8	1.1	168 %	E1972	500	8	4
D_T4_1_d12	0.3	99 %	E1972	0	12	1
D_T4_1_d16	2.7	9 %	E1972	0	16	1
D_T4_1_d20	0.3	174 %	E1972	0	20	1
D_T4_1_d8	0.4	100 %	E1972	0	8	1
D_T4_2_d12	0.3	94 %	E1972	0	12	2
D_T4_2_d20	0.4	105 %	E1972	0	20	2
